timestamp,wb_total_demand_mw,cesc_demand_mw,wbsedcl_demand_mw,grid_frequency_hz,ambient_temp_c,relative_humidity_pct,apparent_temp_c,us_aqi,system_overload_alert
2026-07-01 00:00:00,6272.4,1778.3,4494.1,50.003,29.2,82.2,36.2,217,0
2026-07-01 01:00:00,6543.2,1846.3,4696.9,49.996,29.4,87.3,37.1,206,0
2026-07-01 02:00:00,5781.7,1607.3,4174.4,50.019,27.8,80.7,33.8,189,0
2026-07-01 03:00:00,5464.7,1560.1,3904.6,49.967,26.8,82.8,32.4,235,0
2026-07-01 04:00:00,5244.9,1470.8,3774.1,50.001,27.2,86.8,33.5,190,0
2026-07-01 05:00:00,5894.1,1712.7,4181.4,49.973,27.6,90.5,34.6,198,0
2026-07-01 06:00:00,6449.1,1867.5,4581.6,50.015,29.0,76.7,35.1,167,0
2026-07-01 07:00:00,6816.4,1924.2,4892.2,50.042,29.7,78.6,36.4,152,0
2026-07-01 08:00:00,7387.5,2078.4,5309.1,50.028,31.1,70.6,37.6,164,0
2026-07-01 09:00:00,8276.3,2372.0,5904.3,50.039,32.8,74.8,41.1,133,0
2026-07-01 10:00:00,8235.8,2379.7,5856.1,50.051,32.8,67.6,39.8,115,0
2026-07-01 11:00:00,8834.3,2532.2,6302.1,50.056,34.2,67.5,42.1,126,0
2026-07-01 12:00:00,9418.3,2687.7,6730.6,49.881,35.2,66.1,43.5,73,1
2026-07-01 13:00:00,9207.0,2683.1,6523.9,49.909,36.0,53.0,42.3,103,1
2026-07-01 14:00:00,9225.2,2608.0,6617.2,49.926,35.7,56.0,42.5,118,1
2026-07-01 15:00:00,9400.1,2663.3,6736.8,49.861,36.6,59.9,44.7,96,1
2026-07-01 16:00:00,9262.0,2583.1,6678.9,49.902,36.6,58.3,44.3,112,1
2026-07-01 17:00:00,10545.0,3080.8,7464.2,49.722,35.6,56.6,42.5,118,1
2026-07-01 18:00:00,10800.0,3080.4,7719.6,49.729,35.4,61.2,42.9,103,1
2026-07-01 19:00:00,10800.0,3123.7,7676.3,49.72,34.1,65.4,41.6,145,1
2026-07-01 20:00:00,10800.0,3101.5,7698.5,49.724,33.8,65.4,41.1,181,1
2026-07-01 21:00:00,10182.5,2840.0,7342.5,49.774,31.2,70.3,37.7,175,0
2026-07-01 22:00:00,8141.2,2288.9,5852.3,50.0,30.0,77.3,36.8,173,0
2026-07-01 23:00:00,7448.3,2058.5,5389.8,50.016,30.4,75.8,37.2,202,0
2026-07-02 00:00:00,5671.4,1637.2,4034.2,50.019,29.0,85.0,36.2,189,0
2026-07-02 01:00:00,6165.8,1769.0,4396.8,49.989,28.3,86.0,35.2,202,0
2026-07-02 02:00:00,6513.6,1817.4,4696.2,50.034,29.1,87.9,36.8,197,0
2026-07-02 03:00:00,6007.5,1745.0,4262.5,50.067,28.4,84.5,35.2,227,0
2026-07-02 04:00:00,5056.0,1437.9,3618.1,50.02,27.5,84.2,33.6,194,0
2026-07-02 05:00:00,6473.2,1834.3,4638.9,50.092,28.3,87.5,35.4,199,0
2026-07-02 06:00:00,6656.2,1888.1,4768.1,50.031,29.3,80.0,36.1,171,0
2026-07-02 07:00:00,6811.2,1923.3,4887.9,50.036,30.1,79.3,37.3,161,0
