timestamp,wb_total_demand_mw,cesc_demand_mw,wbsedcl_demand_mw,grid_frequency_hz,ambient_temp_c,relative_humidity_pct,apparent_temp_c,us_aqi,system_overload_alert,data_source
2026-09-16 13:00:40,11564.4,3315.2,8249.2,49.989,36.0,62.9,44.3,106,0,live_grid_india_erldc
2026-09-16 14:00:40,11112.4,3157.8,7954.6,49.988,36.4,61.5,44.7,105,0,live_grid_india_erldc
2026-09-16 15:00:40,10915.3,3091.3,7824.0,50.011,36.5,61.0,44.7,106,0,live_grid_india_erldc
2026-09-16 16:00:40,10494.6,2975.7,7518.9,49.997,36.4,61.5,44.7,111,0,live_grid_india_erldc
2026-09-16 17:00:40,9389.9,2685.7,6704.2,50.012,36.0,62.9,44.3,119,0,live_grid_india_erldc
2026-09-16 18:00:40,12438.3,3544.0,8894.3,50.028,35.3,65.1,43.5,129,0,live_grid_india_erldc
2026-09-16 19:00:40,13083.5,3762.8,9320.7,49.927,34.5,68.0,42.7,142,1,live_grid_india_erldc
2026-09-16 20:00:40,13454.8,3833.8,9621.0,49.899,33.5,71.4,41.6,155,1,live_grid_india_erldc
2026-09-16 21:00:40,12999.7,3718.4,9281.3,49.937,32.5,75.0,40.6,167,1,live_grid_india_erldc
2026-09-16 22:00:40,12746.0,3625.5,9120.5,50.018,31.5,78.6,39.4,180,0,live_grid_india_erldc
2026-09-16 23:00:40,9222.9,2647.4,6575.5,49.996,30.5,82.0,38.3,190,0,live_grid_india_erldc
2026-09-17 00:00:40,9135.6,2617.9,6517.7,50.018,29.7,84.9,37.3,198,0,live_grid_india_erldc
2026-09-17 01:00:40,7796.7,2225.2,5571.5,50.032,29.0,87.1,36.5,203,0,live_grid_india_erldc
2026-09-17 02:00:40,7914.6,2233.6,5681.0,50.021,28.6,88.5,36.0,205,0,live_grid_india_erldc
2026-09-17 03:00:40,7309.8,2083.9,5225.9,50.018,28.5,89.0,35.9,203,0,live_grid_india_erldc
2026-09-17 04:00:40,7129.5,2007.2,5122.3,50.037,28.6,88.5,36.0,198,0,live_grid_india_erldc
2026-09-17 05:00:40,6914.7,1972.5,4942.2,50.015,29.0,87.1,36.5,190,0,live_grid_india_erldc
2026-09-17 06:00:40,9196.4,2641.8,6554.6,49.962,29.7,84.9,37.3,180,0,live_grid_india_erldc
2026-09-17 07:00:40,9446.2,2659.1,6787.1,50.033,30.5,82.0,38.3,167,0,live_grid_india_erldc
2026-09-17 08:00:40,9380.8,2665.0,6715.8,49.965,31.5,78.6,39.4,155,0,live_grid_india_erldc
2026-09-17 09:00:40,9007.9,2552.2,6455.7,49.996,32.5,75.0,40.6,142,0,live_grid_india_erldc
2026-09-17 10:00:40,9265.5,2602.1,6663.4,50.04,33.5,71.4,41.6,130,0,live_grid_india_erldc
2026-09-17 11:00:40,10640.1,3050.3,7589.8,50.019,34.5,68.0,42.7,119,0,live_grid_india_erldc
2026-09-17 12:00:40,11379.2,3231.6,8147.6,50.024,35.3,65.1,43.5,111,0,live_grid_india_erldc
2026-09-17 13:00:40,11376.8,3253.1,8123.7,50.005,36.0,62.9,44.3,106,0,live_grid_india_erldc
